date,festival,multiplier
2024-01-14,Makar Sankranti / Pongal,1.25
2024-03-25,Holi,1.30
2024-04-11,Eid-ul-Fitr,1.20
2024-09-15,Onam,1.25
2024-10-12,Dussehra,1.20
2024-11-01,Diwali,1.40
2025-01-14,Pongal / Makar Sankranti,1.25
2025-03-14,Holi,1.30
2025-03-31,Eid-ul-Fitr,1.20
2025-09-05,Onam,1.25
2025-10-02,Dussehra,1.20
2025-10-20,Diwali,1.40
2026-01-14,Pongal / Makar Sankranti,1.25
2026-03-03,Holi,1.30
2026-03-20,Eid-ul-Fitr,1.20
2026-08-26,Onam,1.25
2026-10-20,Dussehra,1.20
2026-11-08,Diwali,1.40
